month,borough,raw_rows,valid_trips,data_yield_pct,median_duration_min,p90_duration_min,median_speed_mph,airport_trip_share_pct,median_revenue_per_mile,incomplete_submission_pct,tlc_published_pickups,recon_gap_pct
2026-05,ALL NYC,4090836,3888064,95.04,14.63,36.0,8.92,7.87,12.01,22.52,3945903,3.67
2026-05,Bronx,35669,34523,96.79,33.78,82.32,11.31,0.28,4.92,34.56,14248,150.34
2026-05,Brooklyn,158842,152098,95.75,25.12,61.67,10.28,1.31,7.06,56.56,105574,50.46
2026-05,EWR,504,96,19.05,0.15,28.0,23.52,100.0,2000.0,0.0,,
2026-05,Manhattan,3537655,3375357,95.41,13.38,29.27,8.47,1.79,12.93,21.75,3495888,1.19
2026-05,N/A,1752,0,0.0,,,,,,,,
2026-05,Queens,351348,325698,92.7,35.08,67.77,17.59,74.65,6.07,13.28,329888,6.51
2026-05,Staten Island,332,292,87.95,22.72,51.13,18.86,1.71,4.98,69.52,305,8.85
2026-05,Unknown,4734,0,0.0,,,,,,,,
2026-06,ALL NYC,3837248,3621446,94.38,14.23,32.9,9.1,8.17,12.13,25.37,3817295,0.52
2026-06,Bronx,15006,13772,91.78,19.6,39.35,13.48,0.52,6.52,92.41,15000,0.04
2026-06,Brooklyn,106869,99758,93.35,21.95,38.58,11.7,1.66,7.97,88.44,106836,0.03
2026-06,EWR,569,109,19.16,0.15,4.69,21.0,100.0,2320.0,0.0,,
2026-06,Manhattan,3385945,3210394,94.82,13.23,28.37,8.63,1.79,12.91,24.13,3373903,0.36
2026-06,N/A,2394,0,0.0,,,,,,,,
2026-06,Queens,322053,297212,92.29,33.27,63.33,18.75,79.68,6.15,14.4,321319,0.23
2026-06,Staten Island,237,201,84.81,22.98,46.58,19.85,1.99,5.48,79.1,237,0.0
2026-06,Unknown,4175,0,0.0,,,,,,,,
2026-07,ALL NYC,3530109,3307448,93.69,14.25,31.83,9.5,8.49,11.49,26.17,3506619,0.67
2026-07,Bronx,15654,14233,90.92,19.57,39.0,15.08,0.65,6.02,86.92,15641,0.08
2026-07,Brooklyn,101806,94138,92.47,22.15,38.37,12.19,2.14,7.38,84.77,101784,0.02
2026-07,EWR,558,97,17.38,0.17,13.37,18.0,100.0,2880.0,0.0,,
2026-07,Manhattan,3090473,2910456,94.18,13.23,27.73,8.96,1.76,12.32,25.12,3074888,0.51
2026-07,N/A,2372,0,0.0,,,,,,,,
2026-07,Queens,315084,288240,91.48,30.23,57.75,20.39,78.82,5.95,14.56,313972,0.35
2026-07,Staten Island,334,284,85.03,21.43,47.54,21.88,3.17,4.94,77.46,334,0.0
2026-07,Unknown,3828,0,0.0,,,,,,,,
