month,zone_id,borough,zone_name,raw_pickups,valid_pickups,published_pickups,raw_minus_published,gap_pct
2026-05,264,Unknown,N/A,4734,0,,4734,
2026-05,76,Brooklyn,East New York,5381,5265,1560,3821,244.94
2026-05,42,Manhattan,Central Harlem North,15194,14236,11714,3480,29.71
2026-05,61,Brooklyn,Crown Heights North,7527,7234,4217,3310,78.49
2026-05,75,Manhattan,East Harlem South,34338,32283,31712,2626,8.28
2026-05,39,Brooklyn,Canarsie,3625,3559,1178,2447,207.72
2026-05,74,Manhattan,East Harlem North,18016,16803,15757,2259,14.34
2026-05,188,Brooklyn,Prospect-Lefferts Gardens,4187,4023,1942,2245,115.6
2026-05,89,Brooklyn,Flatbush/Ditmas Park,3865,3735,1693,2172,128.29
2026-05,41,Manhattan,Central Harlem,21083,19519,18943,2140,11.3
2026-05,35,Brooklyn,Brownsville,3179,3126,1041,2138,205.38
2026-05,225,Brooklyn,Stuyvesant Heights,4896,4744,3089,1807,58.5
2026-05,91,Brooklyn,Flatlands,2516,2475,710,1806,254.37
2026-05,265,N/A,Outside of NYC,1752,0,,1752,
2026-05,72,Brooklyn,East Flatbush/Remsen Village,2749,2681,1035,1714,165.6
2026-05,137,Manhattan,Kips Bay,47174,44450,45573,1601,3.51
2026-05,55,Brooklyn,Coney Island,1883,1863,315,1568,497.78
2026-05,140,Manhattan,Lenox Hill East,78479,74616,76937,1542,2.0
2026-05,71,Brooklyn,East Flatbush/Farragut,2425,2356,886,1539,173.7
2026-05,244,Manhattan,Washington Heights South,10841,9966,9396,1445,15.38
2026-05,177,Brooklyn,Ocean Hill,2679,2602,1324,1355,102.34
2026-05,17,Brooklyn,Bedford,4101,3905,2809,1292,46.0
2026-05,37,Brooklyn,Bushwick South,6675,6471,5385,1290,23.96
2026-05,97,Brooklyn,Fort Greene,6216,5901,4943,1273,25.75
2026-05,170,Manhattan,Murray Hill,102755,97801,101524,1231,1.21
2026-05,51,Bronx,Co-Op City,1563,1536,376,1187,315.69
2026-05,49,Brooklyn,Clinton Hill,4067,3838,2909,1158,39.81
2026-05,69,Bronx,East Concourse/Concourse Village,1785,1728,641,1144,178.47
